    ,                 ,                 ,                                                                 ,    0,    1,    2,    3,    sum,
   0,               -1,  Manuel Liebchen,       de.acagamics.crushingrocks.controller.sample.BotyMcBotface,    0,   10,   10,   10,     30, 
   1,               -1,  Manuel Liebchen,  de.acagamics.crushingrocks.controller.sample.EmptyBotyMcBotface,    0,    0,    0,    0,      0, 
   2,               -1,  Manuel Liebchen,           de.acagamics.crushingrocks.controller.sample.EvilSanta,    0,    0,    0,    0,      0, 
   3,               -1,              Max,            de.acagamics.crushingrocks.controller.sample.HumanBot,    0,   10,   10,    0,     20,

